,Unidad_Planeamiento_Zocial,Localidad,Barrio
0,Paseo de los Libertadores,Usaquén,Canaima
1,Paseo de los Libertadores,Usaquén, La Floresta de La Sabana
2,Paseo de los Libertadores,Usaquén,Torca.
3,Verbenal,Usaquén,Altos de Serrezuela
4,Verbenal,Usaquén, Balcones de Vista Hermosa
5,Verbenal,Usaquén, Balmoral Norte
6,Verbenal,Usaquén, Buenavista
7,Verbenal,Usaquén, Chaparral
8,Verbenal,Usaquén, El Codito
9,Verbenal,Usaquén, El Refugio de San Antonio
10,Verbenal,Usaquén, El Verbenal
11,Verbenal,Usaquén, Horizontes
12,Verbenal,Usaquén, La Estrellita
13,Verbenal,Usaquén, La Frontera
14,Verbenal,Usaquén, La Llanurita
15,Verbenal,Usaquén, Los Consuelos
16,Verbenal,Usaquén, Marantá
17,Verbenal,Usaquén, Maturín
18,Verbenal,Usaquén, Medellín
19,Verbenal,Usaquén, Mirador del Norte
20,Verbenal,Usaquén, Nuevo Horizonte
21,Verbenal,Usaquén, San Antonio Norte
22,Verbenal,Usaquén, Santandersito
23,Verbenal,Usaquén, Tibabita
24,Verbenal,Usaquén, Viña del Mar.
25,La Uribe,Usaquén,Bosque de San Antonio
26,La Uribe,Usaquén, Conjunto Camino del Palmar
27,La Uribe,Usaquén, El Pite
28,La Uribe,Usaquén, El Redil
29,La Uribe,Usaquén, La Cita
30,La Uribe,Usaquén, La Granja Norte
31,La Uribe,Usaquén, La Uribe
32,La Uribe,Usaquén, Los Naranjos
33,La Uribe,Usaquén, San Juan Bosco
34,La Uribe,Usaquén, Urbanización Los Laureles.
35,San Cristóbal Norte,Usaquén,Ainsuca
36,San Cristóbal Norte,Usaquén, Altablanca
37,San Cristóbal Norte,Usaquén, Barrancas
38,San Cristóbal Norte,Usaquén, California
39,San Cristóbal Norte,Usaquén, Cerro Norte
40,San Cristóbal Norte,Usaquén, Danubio
41,San Cristóbal Norte,Usaquén, Don Bosco
42,San Cristóbal Norte,Usaquén, La Perla Oriental
43,San Cristóbal Norte,Usaquén, Las Areneras
44,San Cristóbal Norte,Usaquén, Milán (Barrancas)
45,San Cristóbal Norte,Usaquén, Pradera Norte
46,San Cristóbal Norte,Usaquén, San Cristóbal Norte
47,San Cristóbal Norte,Usaquén, San Cristóbal Norte parte alta
48,San Cristóbal Norte,Usaquén, San Cristóbal Norte parte baja
49,San Cristóbal Norte,Usaquén, Santa Teresa
50,San Cristóbal Norte,Usaquén, Soratama
51,San Cristóbal Norte,Usaquén, Torcoroma
52,San Cristóbal Norte,Usaquén, Villa Nydia
53,San Cristóbal Norte,Usaquén, Villa Oliva.
54,Toberín,Usaquén,El Toberín
55,Toberín,Usaquén, Babilonia
56,Toberín,Usaquén, Darandelos
57,Toberín,Usaquén, Estrella del Norte
58,Toberín,Usaquén, Guanoa
59,Toberín,Usaquén, Jardín Norte
60,Toberín,Usaquén, La Liberia
61,Toberín,Usaquén, La Pradera Norte
62,Toberín,Usaquén, Las Orquídeas
63,Toberín,Usaquén, Pantanito
64,Toberín,Usaquén, Santa Mónica
65,Toberín,Usaquén, Villa Magdala
66,Toberín,Usaquén, Villas de Aranjuez
67,Toberín,Usaquén, Villas del Mediterráneo
68,Toberín,Usaquén, Zaragoza.
69,Los Cedros,Usaquén,Acacias
70,Los Cedros,Usaquén, Antigua
71,Los Cedros,Usaquén, Belmira
72,Los Cedros,Usaquén, Bosque de Pinos
73,Los Cedros,Usaquén, Caobos Salazar
74,Los Cedros,Usaquén, Capri
75,Los Cedros,Usaquén, Cedritos
76,Los Cedros,Usaquén, Cedro Bolívar
77,Los Cedros,Usaquén, Cedro Golf
78,Los Cedros,Usaquén, Cedro Madeira
79,Los Cedros,Usaquén, Cedro Narváez
80,Los Cedros,Usaquén, Cedro Salazar
81,Los Cedros,Usaquén, El Contador
82,Los Cedros,Usaquén, El Rincón de Las Margaritas
83,Los Cedros,Usaquén, La Sonora
84,Los Cedros,Usaquén, Las Margaritas
85,Los Cedros,Usaquén, Lisboa
86,Los Cedros,Usaquén, Los Cedros
87,Los Cedros,Usaquén, Los Cedros Oriental
88,Los Cedros,Usaquén, Montearroyo
89,Los Cedros,Usaquén, Nueva Autopista
90,Los Cedros,Usaquén, Nuevo Country
91,Los Cedros,Usaquén, Sierras del Moral el Nogal.
92,Usaquén,Usaquén,Bella Suiza
93,Usaquén,Usaquén, Bellavista
94,Usaquén,Usaquén, Bosque Medina
95,Usaquén,Usaquén, El Pañuelito
96,Usaquén,Usaquén, El Pedregal
97,Usaquén,Usaquén, Escuela de Caballería I
98,Usaquén,Usaquén, Escuela de Infantería
99,Usaquén,Usaquén, Francisco Miranda
100,Usaquén,Usaquén, Ginebra
101,Usaquén,Usaquén, La Esperanza
102,Usaquén,Usaquén, La Glorieta
103,Usaquén,Usaquén, Las Delicias del Carmen
104,Usaquén,Usaquén, Sagrado Corazón
105,Usaquén,Usaquén, San Gabriel
106,Usaquén,Usaquén, Santa Ana
107,Usaquén,Usaquén, Santa Ana Occidental
108,Usaquén,Usaquén, Santa Bárbara
109,Usaquén,Usaquén, Santa Bárbara Alta
110,Usaquén,Usaquén, Santa Bárbara Oriental
111,Usaquén,Usaquén, Unicerros
112,Usaquén,Usaquén, Usaquén.
113,Country Club,Usaquén,Country Club
114,Country Club,Usaquén, La Calleja
115,Country Club,Usaquén, La Carolina
116,Country Club,Usaquén, La Cristalina
117,Country Club,Usaquén, Prados del Country
118,Country Club,Usaquén, Recodo del Country
119,Country Club,Usaquén, Santa Coloma
120,Country Club,Usaquén, Soatama
121,Country Club,Usaquén, Toledo
122,Country Club,Usaquén, Torres del Country
123,Country Club,Usaquén, Vergel del Country.
124,Santa Bárbara,Usaquén,Santa Bárbara Occidental
125,Santa Bárbara,Usaquén, Campo Alegre
126,Santa Bárbara,Usaquén, Molinos del Norte
127,Santa Bárbara,Usaquén, Multicentro
128,Santa Bárbara,Usaquén, Navarra
129,Santa Bárbara,Usaquén, Rincón del Chicó
130,Santa Bárbara,Usaquén, San Patricio
131,Santa Bárbara,Usaquén, Santa Bárbara
132,Santa Bárbara,Usaquén, Santa Bárbara Central
133,Santa Bárbara,Usaquén, Santa Bibiana
134,Santa Bárbara,Usaquén, Santa Paula.
135,El Refugio,Chapinero,Chicó Reservado
136,El Refugio,Chapinero, Bellavista
137,El Refugio,Chapinero, Chicó Alto
138,El Refugio,Chapinero, El Nogal
139,El Refugio,Chapinero, El Refugio
140,El Refugio,Chapinero, La Cabrera
141,El Refugio,Chapinero, Seminario
142,El Refugio,Chapinero, Toscana.
143,San Isidro-Patios,Chapinero,La Esperanza Nororiental
144,San Isidro-Patios,Chapinero, La Sureña
145,San Isidro-Patios,Chapinero, San Isidro
146,San Isidro-Patios,Chapinero, San Luis Altos del Cabo.
147,Pardo Rubio,Chapinero,Bosque Calderón
